1.300000000000000000e+03 6.001877375617304944e-01 3.621621557016268395e-02 6.588642339708752349e-01
1.300010840833093880e+03 8.001866214471985428e-01 4.543893542175300032e-02 8.903442211624309488e-01
1.300021681756590624e+03 9.612762693461098795e-01 4.914997958107673870e-02 9.797279962871195957e-01
1.300032522770491141e+03 9.664228590474270852e-01 4.991358866353741430e-02 9.979422706227563111e-01
1.300043363874795659e+03 1.006874823325238921e+00 4.999531572020094600e-02 9.998884912187856466e-01
1.300054205069505542e+03 9.817305956855089111e-01 4.999986076515240685e-02 9.999967075666733596e-01
1.300065046354620790e+03 1.027285672221933899e+00 4.999999118534873693e-02 9.999998128102483008e-01
1.300075887730143222e+03 1.048478936019715757e+00 4.999999303670647072e-02 9.999998568901945495e-01
1.300086729196072611e+03 1.012910243376743624e+00 4.999999298233087641e-02 9.999998555955376123e-01
1.300097570752410320e+03 1.063679253902339417e+00 4.999999292087154573e-02 9.999998541322202561e-01
1.300108412399156805e+03 9.275500635281080930e-01 4.999999285845593833e-02 9.999998526461343351e-01
1.300119254136312748e+03 9.737978105794073969e-01 4.999999279506391059e-02 9.999998511368003440e-01
1.300130095963879057e+03 1.046013044273115256e+00 4.999999273067478461e-02 9.999998496037258988e-01
1.300140937881856871e+03 9.941403505027583964e-01 4.999999266526734820e-02 9.999998480464060702e-01
1.300151779890245962e+03 9.826446536741623161e-01 4.999999259881982017e-02 9.999998464643219398e-01
1.300162621989048148e+03 1.033866076204314588e+00 4.999999253130979482e-02 9.999998448569403786e-01
1.300173464178263202e+03 9.742027101323548210e-01 4.999999246271431136e-02 9.999998432237144907e-01
1.300184306457892944e+03 9.282363040197192383e-01 4.999999239300974285e-02 9.999998415640820593e-01
1.300195148827937373e+03 9.509791928008770601e-01 4.999999232217181705e-02 9.999998398774646580e-01
1.300205991288397172e+03 1.011394532361902465e+00 4.999999225017562332e-02 9.999998381632696498e-01
1.300216833839273704e+03 1.021937647601817378e+00 4.999999217699550857e-02 9.999998364208859680e-01
1.300227676480567197e+03 9.945298730124375597e-01 4.999999210260513971e-02 9.999998346496867807e-01
